Name,Review stars,Brand,Price,Capacity(Kg),Access Location
"VVE Mini Foldable Washing Machine, Portable Washing Machine Small Automatic Portable Folding Compact Washing Machine(Color May Vary)",2.5,VVE,3599,0.8,Top Load
"Samsung 9 Kg 5 Star Wi-Fi Inverter Fully-Automatic Front Loading Washing Machine (WW90T604DLN1TL, Inox, In-Built Heater)",3.6,Samsung,45000,9,Front Load
"Foxsky 7.6 kg Semi-Automatic Top Loading Washing Machine (FOXSKY AQUA WASH 7.6 KG, MAROON)",3.8,Foxsky,9100,7.6,Top Load
"Panasonic 7 Kg Wifi Built-In Heater Fully-Automatic Top Loading Smart Washing Machine (NA-F70AH10MB, Middle Free Silver, Works with Alexa)",4.0,Panasonic,22790,7,Top Load
"Godrej Edge Pro 9 Kg 5 Star Semi Automatic Top Load Washing Machine (WSEDGE PRO 90 5.0 PB3 M LISP, Lilac Sprinkle)",4.2,Godrej,14390,9,Top Load
"IFB 10.0 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-SIBS 10.0KG AQUA, Inox, Power Dual Steam, Inbuilt Heater)",3.5,IFB,32390,10,Top Load
"AmazonBasics 7 kg Semi Automatic Washing Machine (with Heavy wash function, White/Blue color)",3.9,AmazonBasics,9990,7,Front Load
"Panasonic 6.7 kg Built-in Heater Fully-Automatic Top Loading Washing Machine (NA-F67BH8MRB,Middle free silver,Active Foam System) with Water Reuse",4.3,Panasonic,16990,6.7,Top Load
"Voltas Beko 8.5 kg Semi-Automatic Top Loading Washing Machine, 2 Casette Filter (WTT85DBLT, Sky Blue)",3.9,Voltas Beko,16990,8.5,Top Load
"Panasonic 8 Kg Wifi  Fully-Automatic Top Loading Smart Washing Machine (NA-F80X10PRB, Pure Black, Compatible with Alexa)",4.3,Panasonic,24490,8,Top Load
"Panasonic 8.0 Kg 5 Star Wifi Inverter Fully-Automatic Front Loading Washing Machine (NA-148MF1L01, Silver, Compatible for Alexa)",4.0,Panasonic,41990,8,Front Load
"AmazonBasics 8.5 kg Top Load Washing Machine (Grey/Black, Full Metal body, LED Display)",4.0,AmazonBasics,16990,8.5,Top Load
